id_uf,sigla_uf,nome_uf,ano,indicador_medio,indicador_min,indicador_max,total_municipios,municipios_meta_atingida,matriculas_total,pct_municipios_meta_atingida,variacao_yoy
23,CE,CEARA,2024,66.04,35.8,90.03,206,93,454441,45.15,1.29
24,RN,RIO GRANDE DO NORTE,2021,61.6,44.46,80.03,206,128,342725,62.14,0.0
24,RN,RIO GRANDE DO NORTE,2022,63.02,39.72,86.12,206,109,342725,52.91,1.42
24,RN,RIO GRANDE DO NORTE,2023,64.41,39.56,91.22,206,107,342725,51.94,1.39
24,RN,RIO GRANDE DO NORTE,2024,65.88,40.8,96.85,206,90,342725,43.69,1.47
25,PB,PARAIBA,2021,61.04,40.95,81.21,206,129,468403,62.62,0.0
25,PB,PARAIBA,2022,62.53,40.16,84.96,206,112,468403,54.37,1.49
25,PB,PARAIBA,2023,63.77,39.7,83.99,206,99,468403,48.06,1.24
25,PB,PARAIBA,2024,64.99,37.29,88.55,206,89,468403,43.2,1.22
26,PE,PERNAMBUCO,2021,61.84,41.47,80.51,206,132,431344,64.08,0.0
26,PE,PERNAMBUCO,2022,63.02,40.49,84.5,206,116,431344,56.31,1.18
26,PE,PERNAMBUCO,2023,64.57,42.2,90.33,206,100,431344,48.54,1.55
26,PE,PERNAMBUCO,2024,66.37,39.95,92.22,206,89,431344,43.2,1.8
27,AL,ALAGOAS,2021,61.99,40.58,83.54,206,132,430752,64.08,0.0
27,AL,ALAGOAS,2022,63.55,40.79,88.29,206,114,430752,55.34,1.56
27,AL,ALAGOAS,2023,64.97,42.76,91.9,206,107,430752,51.94,1.42
27,AL,ALAGOAS,2024,66.3,40.29,94.35,206,101,430752,49.03,1.33
28,SE,SERGIPE,2021,61.84,45.31,79.1,206,127,391805,61.65,0.0
28,SE,SERGIPE,2022,63.21,38.05,83.81,206,116,391805,56.31,1.37
28,SE,SERGIPE,2023,64.71,40.86,84.84,206,106,391805,51.46,1.5
28,SE,SERGIPE,2024,66.3,36.24,88.5,206,95,391805,46.12,1.59
29,BA,BAHIA,2021,60.87,39.83,78.51,206,129,490593,62.62,0.0
29,BA,BAHIA,2022,62.11,38.98,82.42,206,106,490593,51.46,1.24
29,BA,BAHIA,2023,63.65,35.38,86.17,206,96,490593,46.6,1.54
29,BA,BAHIA,2024,65.32,34.76,91.02,206,89,490593,43.2,1.67
31,MG,MINAS GERAIS,2021,61.23,41.25,81.28,206,130,403271,63.11,0.0
31,MG,MINAS GERAIS,2022,62.78,38.73,84.69,206,115,403271,55.83,1.55
31,MG,MINAS GERAIS,2023,63.93,40.36,87.44,206,94,403271,45.63,1.15
31,MG,MINAS GERAIS,2024,65.59,42.99,91.38,206,88,403271,42.72,1.66
32,ES,ESPIRITO SANTO,2021,61.16,41.79,81.69,206,130,419025,63.11,0.0
32,ES,ESPIRITO SANTO,2022,62.81,38.67,84.37,206,108,419025,52.43,1.65
32,ES,ESPIRITO SANTO,2023,64.2,38.5,87.88,206,105,419025,50.97,1.39
32,ES,ESPIRITO SANTO,2024,65.83,40.51,95.57,206,95,419025,46.12,1.63
33,RJ,RIO DE JANEIRO,2021,61.83,41.86,78.63,206,130,442249,63.11,0.0
33,RJ,RIO DE JANEIRO,2022,63.22,42.23,84.7,206,104,442249,50.49,1.39
33,RJ,RIO DE JANEIRO,2023,64.54,41.48,91.15,206,104,442249,50.49,1.32
33,RJ,RIO DE JANEIRO,2024,66.23,39.06,93.34,206,95,442249,46.12,1.69
35,SP,SAO PAULO,2021,61.59,41.21,79.68,206,132,402930,64.08,0.0
35,SP,SAO PAULO,2022,63.0,42.83,85.16,206,117,402930,56.8,1.41
35,SP,SAO PAULO,2023,64.73,41.64,92.82,206,113,402930,54.85,1.73
35,SP,SAO PAULO,2024,66.06,43.93,90.9,206,98,402930,47.57,1.33
41,PR,PARANA,2021,61.72,42.96,80.56,206,120,485042,58.25,0.0
41,PR,PARANA,2022,63.19,39.06,83.79,206,110,485042,53.4,1.47
41,PR,PARANA,2023,64.81,43.0,87.23,206,107,485042,51.94,1.62
41,PR,PARANA,2024,66.1,40.49,96.38,206,106,485042,51.46,1.29
42,SC,SANTA CATARINA,2021,62.05,40.54,82.28,206,141,525161,68.45,0.0
42,SC,SANTA CATARINA,2022,63.57,41.71,86.4,206,115,525161,55.83,1.52
42,SC,SANTA CATARINA,2023,65.24,41.03,89.6,206,110,525161,53.4,1.67
42,SC,SANTA CATARINA,2024,67.11,45.49,93.82,206,96,525161,46.6,1.87
43,RS,RIO GRANDE DO SUL,2021,60.86,39.22,80.79,206,134,458341,65.05,0.0
43,RS,RIO GRANDE DO SUL,2022,61.74,41.52,83.47,206,99,458341,48.06,0.88
43,RS,RIO GRANDE DO SUL,2023,63.41,36.85,86.25,206,97,458341,47.09,1.67
43,RS,RIO GRANDE DO SUL,2024,64.45,37.66,87.31,206,89,458341,43.2,1.04
50,MS,MATO GROSSO DO SUL,2021,61.97,44.75,83.46,206,137,521112,66.5,0.0
50,MS,MATO GROSSO DO SUL,2022,63.37,41.66,84.18,206,114,521112,55.34,1.4
50,MS,MATO GROSSO DO SUL,2023,64.81,40.17,88.65,206,104,521112,50.49,1.44
50,MS,MATO GROSSO DO SUL,2024,65.94,35.86,92.18,206,95,521112,46.12,1.13
51,MT,MATO GROSSO,2021,61.65,40.38,81.19,206,136,450609,66.02,0.0
51,MT,MATO GROSSO,2022,63.6,39.61,83.64,206,127,450609,61.65,1.95
51,MT,MATO GROSSO,2023,65.09,37.81,90.28,206,118,450609,57.28,1.49
51,MT,MATO GROSSO,2024,66.59,38.47,94.07,206,98,450609,47.57,1.5
52,GO,GOIAS,2021,62.8,40.49,81.09,206,133,452055,64.56,0.0
52,GO,GOIAS,2022,64.08,41.45,86.29,206,110,452055,53.4,1.28
52,GO,GOIAS,2023,65.39,42.66,90.24,206,100,452055,48.54,1.31
52,GO,GOIAS,2024,66.88,42.21,92.11,206,89,452055,43.2,1.49
53,DF,DISTRITO FEDERAL,2021,61.91,42.76,81.95,206,134,472746,65.05,0.0
53,DF,DISTRITO FEDERAL,2022,63.72,43.18,83.52,206,131,472746,63.59,1.81
53,DF,DISTRITO FEDERAL,2023,65.28,40.98,88.67,206,112,472746,54.37,1.56
53,DF,DISTRITO FEDERAL,2024,66.64,39.51,94.05,206,107,472746,51.94,1.36
